
############### Grid Search ###############
---------------- RFC ----------------
Grid Search CV Results:
     mean_fit_time  std_fit_time  mean_score_time  std_score_time  \
59   balanced_subsample            gini               3                100   
60   balanced_subsample            gini               4                  5   
61   balanced_subsample            gini               4                 10   
62   balanced_subsample            gini               4                 20   
63   balanced_subsample            gini               4                 50   
64   balanced_subsample            gini               4                 70   
65   balanced_subsample            gini               4                100   
66   balanced_subsample            gini               5                  5   
67   balanced_subsample            gini               5                 10   
68   balanced_subsample            gini               5                 20   
69   balanced_subsample            gini               5                 50   
70   balanced_subsample            gini               5                 70   
71   balanced_subsample            gini               5                100   
72   balanced_subsample         entropy               2                  5   
73   balanced_subsample         entropy               2                 10   
74   balanced_subsample         entropy               2                 20   
75   balanced_subsample         entropy               2                 50   
76   balanced_subsample         entropy               2                 70   
77   balanced_subsample         entropy               2                100   
78   balanced_subsample         entropy               3                  5   
79   balanced_subsample         entropy               3                 10   
80   balanced_subsample         entropy               3                 20   
81   balanced_subsample         entropy               3                 50   
82   balanced_subsample         entropy               3                 70   
83   balanced_subsample         entropy               3                100   
84   balanced_subsample         entropy               4                  5   
85   balanced_subsample         entropy               4                 10   
86   balanced_subsample         entropy               4                 20   
87   balanced_subsample         entropy               4                 50   
88   balanced_subsample         entropy               4                 70   
89   balanced_subsample         entropy               4                100   
90   balanced_subsample         entropy               5                  5   
91   balanced_subsample         entropy               5                 10   
92   balanced_subsample         entropy               5                 20   
93   balanced_subsample         entropy               5                 50   
94   balanced_subsample         entropy               5                 70   
95   balanced_subsample         entropy               5                100   
96                 None            gini               2                  5   
97                 None            gini               2                 10   
98                 None            gini               2                 20   
99                 None            gini               2                 50   
100                None            gini               2                 70   
101                None            gini               2                100   
102                None            gini               3                  5   
103                None            gini               3                 10   
104                None            gini               3                 20   
105                None            gini               3                 50   
106                None            gini               3                 70   
107                None            gini               3                100   
108                None            gini               4                  5   
109                None            gini               4                 10   
110                None            gini               4                 20   
111                None            gini               4                 50   
112                None            gini               4                 70   
113                None            gini               4                100   
114                None            gini               5                  5   
115                None            gini               5                 10   
116                None            gini               5                 20   
117                None            gini               5                 50   
118                None            gini               5                 70   
119                None            gini               5                100   
120                None         entropy               2                  5   
121                None         entropy               2                 10   
122                None         entropy               2                 20   
123                None         entropy               2                 50   
124                None         entropy               2                 70   
125                None         entropy               2                100   
126                None         entropy               3                  5   
127                None         entropy               3                 10   
128                None         entropy               3                 20   
129                None         entropy               3                 50   
